gb;areacode;Nederland 1);Groot-Brittanië;Turkije;Marokko;Italië;Duitsland;Verenigde Staten;Frankrijk;Spanje;Bulgarije;India;overige;totaal
DX01 Centrum-West;DX01;34480;1155;138;68;818;650;952;532;416;126;130;3921;43386
DX02 Centrum-Oost;DX02;35316;966;173;112;564;628;911;498;296;83;176;3742;43465
DX03 Westerpark;DX03;30576;558;193;412;459;399;257;285;249;62;74;2560;36084
DX04 Bos en Lommer;DX04;28826;328;968;894;390;343;127;206;235;198;72;2422;35009
DX05 Oud-West/De Baarsjes;DX05;60988;1268;779;811;853;974;692;696;599;159;96;5202;73117
DX06 Geuzenveld/Slotermeer;DX06;37639;206;2004;1470;336;175;49;118;262;866;125;2690;45940
DX07 Osdorp;DX07;33053;130;1030;852;240;152;39;95;192;805;182;2542;39312
DX08 De Aker/Nieuw Sloten;DX08;25642;123;330;175;187;120;37;68;159;169;168;1363;28541
DX09 Slotervaart;DX09;33058;392;835;881;501;456;209;292;367;373;357;4267;41988
DX10 Oud-Zuid;DX10;44375;1336;275;150;628;742;1125;832;428;94;119;4131;54235
DX11 Buitenveldert/Zuidas;DX11;19441;358;180;46;332;300;274;216;205;148;1119;3661;26280
DX12 De Pijp/Rivierenbuurt;DX12;55547;950;269;391;719;682;666;738;441;98;144;4388;65033
DX13 Oud-Oost;DX13;30579;375;399;565;330;354;203;250;219;62;74;2436;35846
DX14 Indische Buurt/Oostelijk Havengebied;DX14;35799;370;438;684;410;410;192;237;270;62;56;2499;41427
DX15 Watergraafsmeer;DX15;29160;344;128;185;335;463;188;183;226;65;113;2729;34119
DX16 IJburg/Zeeburgereiland;DX16;22571;229;143;164;215;262;109;122;150;41;53;2003;26062
DX17 Noord-West;DX17;34315;139;458;314;238;142;38;74;181;145;28;1779;37851
DX18 Oud-Noord;DX18;25410;163;203;382;198;265;105;91;130;78;28;2006;29059
DX19 Noord-Oost;DX19;25738;137;559;346;196;134;56;55;125;132;41;1846;29365
DX20 Bijlmer-Centrum;DX20;20358;180;69;102;171;242;89;140;202;85;141;3229;25008
DX21 Bijlmer-Oost;DX21;24581;169;53;78;186;178;30;129;176;76;123;3069;28848
DX22 Gaasperdam/Driemond;DX22;30449;131;40;98;125;137;38;97;155;106;151;2616;34143
